a big heart but
ngram;syn;ngramScore;result count;prioriTrigram;priori count;posterioriTrigram;posteriori count;augScoreIT;augScoreMed
a big;a big;0,000033155881586;784000000.0;;0;a big heart;63900000;9650000.0;232000000.0;
a big;a large;0,000092679848118;719000000.0;;0;a large heart;4340000;35500000.0;290000000.0;
a big;a bad;0,000016342193097;310000000.0;;0;a bad heart;3660000;2930000.0;76400000.0;
a big;a prominent;0,000005570969506;40400000.0;;0;a prominent heart;255000;2940000.0;19200000.0;
a big;a heavy;0,000010263775342;77800000.0;;0;a heavy heart;31600000;2120000.0;25900000.0;

Given a phrase, which is in general more likely?
syn ngram;general
a big;0,405965202983
a large;0,372307373654
a bad;0,160521955261
a prominent;0,0209196354598
a heavy;0,0402858326429

Given a phrase, which domain is more likely?
domain/phrase (given);a big;a large;a bad;a prominent;a heavy;
information technology;0,0399337885371;0,109062980031;0,0369343249716;0,132791327913;0,0756602426838;
medical;0,960066211463;0,890937019969;0,963065675028;0,867208672087;0,924339757316;

Given a domain, which phrase is more likely?
phrase/domain (given);information technology;medical;
a big;0,22068652013;0,436315450736;
a large;0,744542809965;0,500176672639;
a bad;0,0264948670607;0,0568135068571;
a prominent;0,0034646640207;0,00186071191517;
a heavy;0,00481113882365;0,00483365785286;

ngram;syn;ngramScore;result count;prioriTrigram;priori count;posterioriTrigram;posteriori count;augScoreIT;augScoreMed
big heart;big heart;0,000000146676774;7510000.0;a big heart;81800000;big heart but;1730000;689000.0;828000.0;
big heart;big bosom;0,000000004357030;198000.0;a big bosom;5440000;big bosom but;14000;1590.0;69000.0;
big heart;big pump;0,000000004691250;199000.0;a big pump;600000;big pump but;204000;4450.0;92000.0;
big heart;big ticker;0,000000000000000;
big heart;big mettle;0,000000000000000;
big heart;large heart;0,000000060644057;1040000.0;a large heart;4340000;large heart but;1130000;4080.0;3180000.0;
big heart;large bosom;0,000000009394634;90600.0;a large bosom;1590000;large bosom but;30700;906.0;32100.0;
big heart;large pump;0,000000008091697;172000.0;a large pump;641000;large pump but;134000;7100.0;101000.0;
big heart;large ticker;0,000000000000000;
big heart;large mettle;0,000000000000000;
big heart;bad heart;0,000000083114575;644000.0;a bad heart;3660000;bad heart but;1450000;17400.0;760000.0;
big heart;bad bosom;0,000000000000000;
big heart;bad pump;0,000000000743764;123000.0;a bad pump;861000;bad pump but;478000;618.0;18100.0;
big heart;bad ticker;0,000000000000000;
big heart;bad mettle;0,000000000000000;
big heart;prominent heart;0,000000001963087;13900.0;a prominent heart;255000;prominent heart but;0;620.0;21200.0;
big heart;prominent bosom;0,000000002860402;6480.0;a prominent bosom;12900;prominent bosom but;22;0.0;986.0;
big heart;prominent pump;0,000000000000000;
big heart;prominent ticker;0,000000000000000;
big heart;prominent mettle;0,000000000000000;
big heart;heavy heart;0,000000384671632;2900000.0;a heavy heart;31500000;heavy heart but;1480000;121000.0;373000.0;
big heart;heavy bosom;0,000000002575642;10500.0;a heavy bosom;80800;heavy bosom but;22;0.0;2940.0;
big heart;heavy pump;0,000000000739835;95300.0;a heavy pump;412000;heavy pump but;0;685.0;10800.0;
big heart;heavy ticker;0,000000000000000;
big heart;heavy mettle;0,000000000000000;

Given a phrase, which is in general more likely?
syn ngram;general
big heart;0,577568796827
big bosom;0,0152275128857
big pump;0,0153044195164
large heart;0,0799828959653
large bosom;0,00696774074467
large pump;0,0132279404866
bad heart;0,0495278701939
bad pump;0,00945951558051
prominent heart;0,00106900216723
prominent bosom;0,000498354967169
heavy heart;0,223029229134
heavy bosom;0,000807519622727
heavy pump;0,00732920190913

Given a phrase, which domain is more likely?
domain/phrase (given);big heart;big bosom;big pump;large heart;large bosom;large pump;bad heart;bad pump;prominent heart;prominent bosom;heavy heart;heavy bosom;heavy pump;
information technology;0,45418589321;0,0225244368891;0,0461378952825;0,00128137483983;0,0274495546264;0,0656799259944;0,0223822999743;0,0330163479004;0,0284142988084;0,0;0,244939271255;0,0;0,0596430126252;
medical;0,54581410679;0,977475563111;0,953862104717;0,99871862516;0,972550445374;0,934320074006;0,977617700026;0,9669836521;0,971585701192;1,0;0,755060728745;1,0;0,940356987375;

Given a domain, which phrase is more likely?
phrase/domain (given);information technology;medical;
big heart;0,933433835866;0,557570371067;
big bosom;5,67919388e-05;0,00122502145441;
big pump;0,000159748749776;0,00164161124193;
large heart;0,00076545186048;0,296544499635;
large bosom;1,4807467085e-05;0,00026077301237;
large pump;0,000220298315427;0,00155768355336;
bad heart;0,00202143367454;0,0438862904879;
bad pump;1,37125418841e-05;0,00019962415927;
prominent heart;1,55464369665e-06;2,6422875288e-05;
prominent bosom;0,0;5,72903314172e-07;
heavy heart;0,0633005886695;0,0969920734324;
heavy bosom;0,0;2,767999729e-06;
heavy pump;1,17762726664e-05;9,22881775534e-05;

ngram;syn;ngramScore;result count;prioriTrigram;priori count;posterioriTrigram;posteriori count;augScoreIT;augScoreMed
heart but;heart but;0,000000206023311;10800000.0;big heart but;1730000;;0;981000.0;1670000.0;
heart but;bosom but;0,000000004717572;76700.0;big bosom but;14000;;0;666.0;56000.0;
heart but;pump but;0,000000010429226;1850000.0;big pump but;204000;;0;45600.0;1010000.0;
heart but;ticker but;0,000000000000000;

Given a phrase, which is in general more likely?
syn ngram;general
heart but;0,848609616004
bosom but;0,00602669977292
pump but;0,145363684223

Given a phrase, which domain is more likely?
domain/phrase (given);heart but;bosom but;pump but;
information technology;0,370049038099;0,011753079448;0,0431981811292;
medical;0,629950961901;0,988246920552;0,956801818871;

Given a domain, which phrase is more likely?
phrase/domain (given);information technology;medical;
heart but;0,992095756742;0,905931263987;
bosom but;4,78333086656e-06;0,000215743843706;
pump but;0,00789945992739;0,093852992169;

a large heart Steve
ngram;syn;ngramScore;result count;prioriTrigram;priori count;posterioriTrigram;posteriori count;augScoreIT;augScoreMed
a large;a large;0,000092679848118;719000000.0;;0;a large heart;4340000;35500000.0;290000000.0;
a large;a big;0,000033155881586;784000000.0;;0;a big heart;63900000;9630000.0;232000000.0;

Given a phrase, which is in general more likely?
syn ngram;general
a large;0,478376580173
a big;0,521623419827

Given a phrase, which domain is more likely?
domain/phrase (given);a large;a big;
information technology;0,109062980031;0,0398543227248;
medical;0,890937019969;0,960145677275;

Given a domain, which phrase is more likely?
phrase/domain (given);information technology;medical;
a large;0,771729330401;0,534095973852;
a big;0,228270669599;0,465904026148;

ngram;syn;ngramScore;result count;prioriTrigram;priori count;posterioriTrigram;posteriori count;augScoreIT;augScoreMed
large heart;large heart;0,000000060644057;1040000.0;a large heart;4340000;large heart Steve;0;4080.0;3180000.0;
large heart;large bosom;0,000000009394634;90600.0;a large bosom;1590000;large bosom Steve;0;897.0;32100.0;
large heart;large pump;0,000000008091697;172000.0;a large pump;641000;large pump Steve;0;7070.0;24900.0;
large heart;large ticker;0,000000000000000;
large heart;large mettle;0,000000000000000;
large heart;big heart;0,000000146676774;7510000.0;a big heart;63900000;big heart Steve;24400;690000.0;818000.0;
large heart;big bosom;0,000000004357030;195000.0;a big bosom;5440000;big bosom Steve;0;1590.0;68800.0;
large heart;big pump;0,000000004691250;199000.0;a big pump;600000;big pump Steve;0;4450.0;92000.0;
large heart;big ticker;0,000000000000000;
large heart;big mettle;0,000000000000000;
large heart;bombastic heart;0,000000000000000;
large heart;bombastic bosom;0,000000000000000;
large heart;bombastic pump;0,000000000000000;
large heart;bombastic ticker;0,000000000000000;
large heart;bombastic mettle;0,000000000000000;
large heart;declamatory heart;0,000000000000000;
large heart;declamatory bosom;0,000000000000000;
large heart;declamatory pump;0,000000000000000;
large heart;declamatory ticker;0,000000000000000;
large heart;declamatory mettle;0,000000000000000;
large heart;orotund heart;0,000000000000000;
large heart;orotund bosom;0,000000000000000;
large heart;orotund pump;0,000000000000000;
large heart;orotund ticker;0,000000000000000;
large heart;orotund mettle;0,000000000000000;

Given a phrase, which is in general more likely?
syn ngram;general
large heart;0,112962439989
large bosom;0,00984076640671
